	version	model	descr	fcst_lead	fcst_valid_beg	fcst_valid_end	fcst_init_beg	obs_lead	obs_valid_beg	obs_valid_end	fcst_var	fcst_units	fcst_lev	obs_var	obs_units	obs_lev	obtype	vx_mask	interp_mthd	interp_pnts	fcst_thresh	obs_thresh	cov_thresh	alpha	line_type	total	n_thresh	thresh_i	oy_i	on_i	i_value
94	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	330000	2022-05-07 09:00:00	2022-05-07 09:00:00	2022-05-06	0	2022-05-07 08:30:01	2022-05-07 09:30:00	TMP_ENS_FREQ_ge293	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=293	-9999	-9999	PCT	4309	10	0	47	3603	1
95	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	330000	2022-05-07 09:00:00	2022-05-07 09:00:00	2022-05-06	0	2022-05-07 08:30:01	2022-05-07 09:30:00	TMP_ENS_FREQ_ge298	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=298	-9999	-9999	PCT	4309	10	0	70	4163	1
96	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	330000	2022-05-07 09:00:00	2022-05-07 09:00:00	2022-05-06	0	2022-05-07 08:30:01	2022-05-07 09:30:00	TMP_ENS_FREQ_ge303	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=303	-9999	-9999	PCT	4309	10	0	0	4309	1
97	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	330000	2022-05-07 09:00:00	2022-05-07 09:00:00	2022-05-06	0	2022-05-07 08:30:01	2022-05-07 09:30:00	DPT_ENS_FREQ_ge263	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=263	-9999	-9999	PCT	4230	10	0	0	3	1
98	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	330000	2022-05-07 09:00:00	2022-05-07 09:00:00	2022-05-06	0	2022-05-07 08:30:01	2022-05-07 09:30:00	DPT_ENS_FREQ_ge268	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=268	-9999	-9999	PCT	4230	10	0	1	84	1
99	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	330000	2022-05-07 09:00:00	2022-05-07 09:00:00	2022-05-06	0	2022-05-07 08:30:01	2022-05-07 09:30:00	DPT_ENS_FREQ_ge273	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=273	-9999	-9999	PCT	4230	10	0	1	261	1
V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA100	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	140000	2022-05-06 14:00:00	2022-05-06 14:00:00	2022-05-06	0	2022-05-06 13:30:01	2022-05-06 14:30:00	TMP_ENS_FREQ_ge268	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=268	-9999	-9999	PCT	4281	10	0	0	0	1
101	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	140000	2022-05-06 14:00:00	2022-05-06 14:00:00	2022-05-06	0	2022-05-06 13:30:01	2022-05-06 14:30:00	DPT_ENS_FREQ_ge288	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=288	-9999	-9999	PCT	4210	10	0	21	2739	1
102	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	140000	2022-05-06 14:00:00	2022-05-06 14:00:00	2022-05-06	0	2022-05-06 13:30:01	2022-05-06 14:30:00	DPT_ENS_FREQ_ge293	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=293	-9999	-9999	PCT	4210	10	0	25	3605	1
103	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	140000	2022-05-06 14:00:00	2022-05-06 14:00:00	2022-05-06	0	2022-05-06 13:30:01	2022-05-06 14:30:00	DPT_ENS_FREQ_ge298	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=298	-9999	-9999	PCT	4210	10	0	1	4209	1
