	Idx	version	model	desc	fcst_lead	fcst_valid_beg	fcst_valid_end	fcst_init_beg	obs_lead	obs_valid_beg	obs_valid_end	fcst_var	fcst_units	fcst_lev	obs_var	obs_units	obs_lev	obtype	vx_mask	interp_mthd	interp_pnts	fcst_thresh	obs_thresh	cov_thresh	alpha	line_type	total	stat_name	stat_value	stat_ncl	stat_ncu	stat_bcl	stat_bcu
20	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	CRPS	1.69127	NA	NA	NA	NA
236	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	CRPSCL_EMP	NA	NA	NA	NA	NA
416	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	ME_LT_OBS	-3.18725	NA	NA	NA	NA
110	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	SPREAD	2.83549	NA	NA	NA	NA
218	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	CRPS_EMP	2.07215	NA	NA	NA	NA
200	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	CRPSCL	NA	NA	NA	NA	NA
434	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	IGN_CONV_OERR	NA	NA	NA	NA	NA
128	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	ME_OERR	NA	NA	NA	NA	NA
182	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	SPREAD_PLUS_OERR	NA	NA	NA	NA	NA
164	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	SPREAD_OERR	NA	NA	NA	NA	NA
